protocol,frontier_type,strategy_name,on_average_path_frontier,on_seed_aggregated_frontier,membership_changed
bil_cash,full,60_40_SPY_TLT,True,True,False
bil_cash,full,BuyHold_GLD,True,True,False
bil_cash,full,Equal_Weight,True,True,False
bil_cash,full,Equal_Weight_Risky,True,True,False
bil_cash,full,V3_real_macro_vintage_clean_no_dxy_cap_0p70,True,True,False
bil_cash,full,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,True,False,True
bil_cash,full,V8_ewma_garch_vol_current_cap_0p70,True,True,False
bil_cash,full,momentum_winner_12p,True,True,False
bil_cash,full,risk_adjusted_momentum_winner_12p_12p,True,True,False
bil_cash,full,rolling_markowitz_long_only_52p,True,True,False
bil_cash,full,rolling_markowitz_min_variance_52p,True,True,False
bil_cash,full,trend_spy_cash_12p,True,True,False
bil_cash,reduced,60_40_SPY_TLT,True,True,False
bil_cash,reduced,BuyHold_GLD,True,True,False
bil_cash,reduced,Equal_Weight,True,True,False
bil_cash,reduced,V3_real_macro_vintage_clean_no_dxy_cap_0p70,True,True,False
bil_cash,reduced,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,True,False,True
bil_cash,reduced,V8_ewma_garch_vol_current_cap_0p70,True,False,True
bil_cash,reduced,risk_adjusted_momentum_winner_12p_12p,True,True,False
bil_cash,reduced,rolling_markowitz_long_only_52p,True,True,False
bil_cash,reduced,rolling_markowitz_min_variance_52p,True,True,False
bil_cash,reduced,trend_spy_cash_12p,True,True,False
zero_cash,full,60_40_SPY_TLT,True,True,False
zero_cash,full,BuyHold_GLD,True,True,False
zero_cash,full,Equal_Weight,True,True,False
zero_cash,full,Equal_Weight_Risky,True,True,False
zero_cash,full,V3_real_macro_vintage_clean_no_dxy_cap_0p70,True,True,False
zero_cash,full,V4_real_garch_current_cap_0p70,True,True,False
zero_cash,full,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,True,False,True
zero_cash,full,momentum_winner_12p,True,True,False
zero_cash,full,rolling_markowitz_long_only_52p,True,True,False
zero_cash,full,rolling_markowitz_min_variance_52p,True,True,False
zero_cash,full,rolling_risk_parity_inverse_vol_12p,True,True,False
zero_cash,full,trend_spy_cash_12p,True,True,False
zero_cash,reduced,60_40_SPY_TLT,True,True,False
zero_cash,reduced,BuyHold_GLD,True,True,False
zero_cash,reduced,Equal_Weight,True,True,False
zero_cash,reduced,V3_real_macro_vintage_clean_no_dxy_cap_0p70,True,True,False
zero_cash,reduced,V4_real_garch_current_cap_0p70,True,True,False
zero_cash,reduced,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,True,False,True
zero_cash,reduced,rolling_markowitz_long_only_52p,True,True,False
zero_cash,reduced,rolling_markowitz_min_variance_52p,True,True,False
zero_cash,reduced,rolling_risk_parity_inverse_vol_12p,True,True,False
zero_cash,reduced,trend_spy_cash_12p,True,True,False
